SIGLA;DESCRICAO;NIVEL ENSINO;CH HORA RELOGIO;CH HORA AULA;CH QTD CREDITOS;ATIVO;SIGLA QACADEMICO;OBSERVACAO
TSUB.0563;Seminário de Orientação para a Prática Profissional(30H);Médio;30;40;2;Sim;TSUB.434.0019;-
TSUB.0657;Seminário de Orientação para a Prática Profissional(30H);Médio;30;40;2;Sim;TSUB.702.0017;-
TSUB.0819;Seminário de Orientação para a Prática Profissional(30H);Médio;30;40;2;Sim;TSUB.120.0025;-
TIN.0349;Seminário de Orientação para a Prática Profissional(30H);Médio;30;40;2;Sim;TIN.015.0017;-
TIN.0456;Seminário de Orientação para a Prática Profissional(30H);Médio;30;40;2;Sim;TIN.112.0016;-
TSUB.0839;Seminário de Orientação para a Prática Profissional(30H);Médio;30;40;2;Sim;TSUB.500.0012;Curso 500
TEC.0606;Seminário de Orientação para a Prática Profissional de Estágio Curricular Supervisionado;Graduação;30;40;2;Sim;TEC.0069.0021;Curso 069
TEC.0357;Seminário de Orientação para a Prática Profissional / de Estágio Supervisionado (Estágio Técnico) I(30H);Graduação;30;40;2;Sim;TEC.805.0033;Curso 05805
TEC.0367;Seminário de Orientação para a Prática Profissional / de Estágio Supervisionado (Estágio Técnico) II(30H);Graduação;30;40;2;Sim;TEC.805.0034;Curso 05805
TEC.0518;Seminário de Orientação para a Prática Profissional de Estágio Supervisionado ou Trabalho de Conclusão de Curso (TCC)(30H);Graduação;30;40;2;Sim;TEC.804.0027;Curso 06804
TEC.0607;Seminário de Orientação para a Prática Profissional de Projeto de Pesquisa e/ou Projeto de Extensão;Graduação;30;40;2;Sim;TEC.0069.0022;Curso 069
TEC.0576;Seminário de Orientação para a Prática Profissional I;Graduação;30;40;2;Sim;TEC.304.0046;Curso 01304
TEC.0663;Seminário de Orientação para a Prática Profissional I;Graduação;15;20;1;Sim;TEC.412.0014;Curso 454
TEC.0802;Seminário de Orientação para a Prática Profissional I;Graduação;15;20;1;Sim;TEC.014.0004;Curso 014
EJA.0054;Seminário de Orientação para a Prática Profissional I;Médio;15;20;1;Sim;TEJA.305.0022;Curso 305
TIN.0292;Seminário de Orientação para a Prática Profissional I;Médio;15;20;1;Sim;TIN.007.0003;Curso 183
EJA.0073;Seminário de Orientação para a Prática Profissional I;Médio;15;20;1;Sim;TEJA.510.0021;Curso 527
EJA.0094;Seminário de Orientação para a Prática Profissional I;Médio;15;20;1;Sim;TEJA.417.0022;Curso 417
EJA.0134;Seminário de Orientação para a Prática Profissional I;Médio;15;20;1;Sim;TEJA.102.0031;Curso 102
EJA.0155;Seminário de Orientação para a Prática Profissional I;Médio;15;20;1;Sim;TEJA.410.0017;Curso 410
TSUB.0865;Seminário de Orientação para a Prática Profissional I;Médio;15;20;1;Sim;-;-
EJA.0170;Seminário de Orientação para a Prática Profissional I;Médio;15;20;1;Sim;TEJA.418.0022;Curso 438
EJA.0191;Seminário de Orientação para a Prática Profissional I;Médio;15;20;1;Sim;TEJA.104.0008;Curso 104
EJA.0222;Seminário de Orientação para a Prática Profissional I;Médio;15;20;1;Sim;TEJA.420.0019;Curso 420
TEC.0945;Seminário de Orientação para a Prática Profissional I;Graduação;15;20;1;Sim;-;Curso 33
TIN.0929;Seminário de Orientação para a Prática Profissional I;Médio;15;20;1;Sim;-;Curso 19034
TIN.0558;Seminário de Orientação para a Prática Profissional I (15H);Médio;15;20;1;Sim;TIN.704.0020;-
TEC.0454;Seminário de Orientação para a Prática Profissional I(15H);Graduação;15;20;1;Sim;TEC.102.0032;Curso 01102
TSUB.0052;Seminário de Orientação para a Prática Profissional I(15H);Médio;15;20;1;Sim;TSUB.79.0026;Curso 08079
TSUB.0084;Seminário de Orientação para a Prática Profissional I(15H);Médio;15;20;1;Sim;TSUB.422.0023;Curso 08422
TSUB.0111;Seminário de Orientação para a Prática Profissional I(15H);Médio;15;20;1;Sim;TSUB.421.0019;Curso 08421
TSUB.0135;Seminário de Orientação para a Prática Profissional I(15H);Médio;15;20;1;Sim;TSUB.116.0027;Curso 10116
TSUB.0163;Seminário de Orientação para a Prática Profissional I(15H);Médio;15;20;1;Sim;TSUB.045.0020;Curso 10045
TSUB.0189;Seminário de Orientação para a Prática Profissional I(15H);Médio;15;20;1;Sim;TSUB.411.0018;Curso 10411
TSUB.0213;Seminário de Orientação para a Prática Profissional I(15H);Médio;15;20;1;Sim;TSUB.307.0021;Curso 10045
TSUB.0297;Seminário de Orientação para a Prática Profissional I(15H);Médio;15;20;1;Sim;TSUB.035.0018;Curso 09035
TSUB.0315;Seminário de Orientação para a Prática Profissional I(15H);Médio;15;20;1;Sim;TSUB.118.0018;Curso 16118
TSUB.0336;Seminário de Orientação para a Prática Profissional I(15H);Médio;15;20;1;Sim;TSUB.407.0019;-
TSUB.0357;Seminário de Orientação para a Prática Profissional I(15H);Médio;15;20;1;Sim;TSUB.051.0019;Curso 051
TSUB.0384;Seminário de Orientação para a Prática Profissional I(15H);Médio;15;20;1;Sim;TSUB.403.0016;-
TSUB.0413;Seminário de Orientação para a Prática Profissional I(15H);Médio;15;20;1;Sim;TSUB.426.0018;Curso 426
TSUB.0433;Seminário de Orientação para a Prática Profissional I(15H);Médio;15;20;1;Sim;TSUB.207.0016;Curso 207
TSUB.0458;Seminário de Orientação para a Prática Profissional I(15H);Médio;15;20;1;Sim;TSUB.117.0018;-
TSUB.0483;Seminário de Orientação para a Prática Profissional I(15H);Médio;15;20;1;Sim;TSUB.032.0022;Curso 032
TSUB.0510;Seminário de Orientação para a Prática Profissional I(15H);Médio;15;20;1;Sim;TSUB.104.0022;-
TSUB.0601;Seminário de Orientação para a Prática Profissional I(15H);Médio;15;20;1;Sim;TSUB.022.0020;Curso 022
TSUB.0630;Seminário de Orientação para a Prática Profissional I(15H);Médio;15;20;1;Sim;TSUB.425.0021;-
TSUB.0709;Seminário de Orientação para a Prática Profissional I(15H);Médio;15;20;1;Sim;TSUB.415.0018;-
TSUB.0742;Seminário de Orientação para a Prática Profissional I(15H);Médio;15;20;1;Sim;TSUB.057.0021;-
TSUB.0765;Seminário de Orientação para a Prática Profissional I(15H);Médio;15;20;1;Sim;TSUB.703.0020;-
